"ID_MAGASIN";"ID_FAMILLE_PRODUIT";"ID_TEMPS";"VENTES_OBJECTIF";"VENTES_REEL";"CA_OBJECTIF";"CA_REEL";"MARGE_OBJECTIF";"MARGE_REEL";"DATE_MAJ"
18;2;"201510";225;716;8140;2602.94;100;69;25/03/16
18;3;"201510";410;890;893;2114.14;61;68;25/03/16
7;1;"201510";7;649;580;4424.21;38;91;25/03/16
7;2;"201510";521;842;753;8405.51;39;19;25/03/16
7;3;"201510";292;211;1429;5757.56;96;96;25/03/16
8;1;"201510";218;387;1625;6572.51;25;38;25/03/16
8;2;"201510";2;781;2342;4391.78;28;53;25/03/16
8;3;"201510";558;443;562;8003.14;48;99;25/03/16
9;1;"201510";301;321;7619;4474.34;32;1;25/03/16
9;2;"201510";769;814;4500;4472.33;0;36;25/03/16
9;3;"201510";401;952;1724;7523.99;21;100;25/03/16
10;1;"201510";583;756;2662;993.46;58;68;25/03/16
10;2;"201510";219;806;6071;3622.43;83;34;25/03/16
10;3;"201510";532;404;2288;6198.54;16;66;25/03/16
11;1;"201510";895;800;4183;1976.38;43;78;25/03/16
11;2;"201510";599;665;7822;9578.17;94;12;25/03/16
11;3;"201510";427;128;4095;377.87;71;33;25/03/16
12;1;"201510";106;940;1211;835.66;11;48;25/03/16
12;2;"201510";357;918;876;2800.6;37;6;25/03/16
12;3;"201510";454;275;400;283.66;70;79;25/03/16
25;1;"201510";169;490;6851;8716.57;35;87;25/03/16
25;2;"201510";389;591;6155;8613.72;1;7;25/03/16
25;3;"201510";547;23;8584;1002.35;42;36;25/03/16
1;1;"201510";176;271;8127;3203.26;68;87;25/03/16
1;2;"201510";48;149;3830;117.51;14;90;25/03/16
1;3;"201510";901;642;199;6748.58;45;52;25/03/16
2;1;"201510";832;638;5936;5755.17;41;28;25/03/16
2;2;"201510";667;78;2080;2650.12;34;59;25/03/16
2;3;"201510";715;187;1067;2745.52;44;36;25/03/16
3;1;"201510";299;581;6463;3926.7;13;9;25/03/16
3;2;"201510";379;867;5964;2333.42;27;72;25/03/16
3;3;"201510";494;161;4305;3800.73;25;28;25/03/16
20;1;"201510";676;60;1998;406.95;53;52;25/03/16
20;2;"201510";501;99;8312;9641.21;8;34;25/03/16
20;3;"201510";918;668;652;5234.54;26;56;25/03/16
21;1;"201510";784;884;6381;9336.75;9;15;25/03/16
21;2;"201510";975;607;7214;4933.49;71;11;25/03/16
21;3;"201510";305;962;3072;7386.07;62;58;25/03/16
22;1;"201510";487;805;5209;4620.86;96;13;25/03/16
22;2;"201510";932;709;7256;5160.64;4;48;25/03/16
22;3;"201510";777;370;2527;2173.19;32;89;25/03/16
23;1;"201510";695;321;3369;4660.95;37;99;25/03/16
23;2;"201510";83;685;1441;1198.48;67;43;25/03/16
23;3;"201510";856;142;2865;2270.57;9;9;25/03/16
24;1;"201510";159;466;4881;4995.69;14;17;25/03/16
24;2;"201510";879;852;8612;2810.74;84;78;25/03/16
24;3;"201510";462;409;7735;9254.92;86;1;25/03/16
4;1;"201510";938;668;9020;7423.92;9;42;25/03/16
4;2;"201510";646;962;2537;4099.04;71;80;25/03/16
4;3;"201510";694;437;3820;2365.91;49;26;25/03/16
5;1;"201510";4;212;61;2206.68;77;18;25/03/16
5;2;"201510";2;212;4326;5800.75;84;17;25/03/16
5;3;"201510";320;879;6363;5551.65;83;63;25/03/16
6;1;"201510";678;691;3596;8056.48;66;24;25/03/16
6;2;"201510";229;229;6052;5551.55;3;16;25/03/16
6;3;"201510";575;151;8033;1804.9;47;94;25/03/16
13;1;"201510";227;698;8878;1433.77;11;20;25/03/16
13;2;"201510";501;922;9170;6898.01;3;19;25/03/16
13;3;"201510";534;123;3932;8797.77;22;88;25/03/16
14;1;"201510";572;489;6370;2299.33;82;33;25/03/16
14;2;"201510";541;794;2013;7637.7;4;49;25/03/16
14;3;"201510";951;621;9786;4448.13;59;92;25/03/16
26;1;"201510";212;806;4925;5242.26;14;41;25/03/16
26;2;"201510";955;363;7279;6103.71;100;26;25/03/16
26;3;"201510";384;872;4673;1279.18;58;17;25/03/16
27;1;"201510";227;264;1196;5607.03;3;24;25/03/16
27;2;"201510";992;862;1544;3575.35;18;12;25/03/16
27;3;"201510";266;305;2049;7372.66;21;36;25/03/16
28;1;"201510";119;146;6635;6413.85;35;2;25/03/16
28;2;"201510";991;656;9883;4991.03;94;21;25/03/16
28;3;"201510";730;851;4682;7353.74;50;14;25/03/16
29;1;"201510";22;914;9730;7696.04;61;85;25/03/16
29;2;"201510";422;943;5370;8037.9;92;30;25/03/16
29;3;"201510";75;263;7143;6686.59;48;11;25/03/16
30;1;"201510";578;552;4470;5863.22;18;26;25/03/16
30;2;"201510";567;412;7606;4425.17;79;38;25/03/16
30;3;"201510";844;803;7650;2634.35;17;67;25/03/16
31;1;"201510";91;134;6290;3574.68;83;24;25/03/16
31;2;"201510";341;125;2447;2137.11;5;5;25/03/16
31;3;"201510";132;256;809;2086.16;41;97;25/03/16
38;1;"201510";624;734;6344;1637.57;94;89;25/03/16
38;2;"201510";660;202;5282;346.33;15;5;25/03/16
38;3;"201510";32;667;4641;3108.44;55;98;25/03/16
39;1;"201510";10;773;7947;4322.12;1;80;25/03/16
39;2;"201510";68;935;7956;2006.45;72;33;25/03/16
39;3;"201510";958;777;704;5518.42;61;94;25/03/16
40;1;"201510";17;253;4638;5139.27;55;66;25/03/16
40;2;"201510";906;503;7232;7601.32;10;68;25/03/16
40;3;"201510";174;839;47;3758.55;26;33;25/03/16
41;1;"201510";603;578;8422;9336.71;1;35;25/03/16
41;2;"201510";920;60;5988;9384.59;89;66;25/03/16
41;3;"201510";994;742;3902;3393.1;71;30;25/03/16
42;1;"201510";70;320;3903;9581.45;85;43;25/03/16
42;2;"201510";535;662;9452;1774.14;78;84;25/03/16
42;3;"201510";758;409;2514;1417.09;66;35;25/03/16
43;1;"201510";58;956;7594;874.8;6;46;25/03/16
43;2;"201510";911;634;154;735.01;83;25;25/03/16
43;3;"201510";398;484;9449;9505.79;33;14;25/03/16
35;1;"201510";162;614;9234;4311.98;28;78;25/03/16
35;2;"201510";894;740;7381;9469.09;93;75;25/03/16
35;3;"201510";349;719;1772;5111.04;23;12;25/03/16
36;1;"201510";116;864;3736;4880.18;89;50;25/03/16
36;2;"201510";470;979;3234;4398.75;63;17;25/03/16
36;3;"201510";61;95;988;6796.07;89;90;25/03/16
37;1;"201510";923;257;2182;9999.01;63;2;25/03/16
37;2;"201510";681;657;2239;6933.47;65;49;25/03/16
37;3;"201510";740;983;9703;4906.92;85;87;25/03/16
19;1;"201510";759;396;6575;2582.8;87;40;25/03/16
19;2;"201510";225;590;1067;1426.65;89;61;25/03/16
19;3;"201510";935;243;6498;4257.06;36;80;25/03/16
45;1;"201510";518;37;1641;1027.78;69;55;25/03/16
45;2;"201510";484;507;699;982.41;41;93;25/03/16
45;3;"201510";534;637;650;7450.74;25;34;25/03/16
46;1;"201510";225;219;4984;2675.91;24;49;25/03/16
46;2;"201510";548;785;9639;992.54;74;87;25/03/16
46;3;"201510";198;3;6928;4843.99;80;33;25/03/16
47;1;"201510";596;793;874;8994.17;33;96;25/03/16
47;2;"201510";499;449;894;4338.69;52;3;25/03/16
47;3;"201510";611;881;7690;2355.46;89;79;25/03/16
48;1;"201510";17;832;8602;1720.87;53;3;25/03/16
48;2;"201510";982;898;7306;2254.36;25;50;25/03/16
48;3;"201510";608;491;5724;4533.48;91;61;25/03/16
32;1;"201510";756;233;4754;5590.55;37;4;25/03/16
32;2;"201510";231;49;5554;3784.92;36;94;25/03/16
32;3;"201510";419;779;5185;2242.73;99;61;25/03/16
33;1;"201510";235;238;4606;4424.92;47;45;25/03/16
33;2;"201510";404;82;2038;3530.34;19;54;25/03/16
33;3;"201510";630;548;4911;9493.93;74;62;25/03/16
34;1;"201510";616;706;1996;1638.32;59;46;25/03/16
34;2;"201510";478;842;7077;767.12;91;7;25/03/16
34;3;"201510";66;843;6154;3975.35;93;39;25/03/16
44;1;"201510";520;638;2050;1509.71;42;17;25/03/16
44;2;"201510";195;790;1038;5055.42;60;29;25/03/16
44;3;"201510";616;480;4150;2101.13;14;66;25/03/16
15;1;"201509";705;358;3306;946.15;10;32;25/03/16
15;2;"201509";505;37;6700;5803.22;8;97;25/03/16
15;3;"201509";837;85;852;9732.4;97;66;25/03/16
16;1;"201509";235;760;9949;800.25;8;99;25/03/16
16;2;"201509";432;627;2751;5930.37;98;2;25/03/16
16;3;"201509";570;547;5223;1411.25;22;97;25/03/16
17;1;"201509";281;786;2915;9919.19;87;94;25/03/16
17;2;"201509";654;260;4753;7129.08;85;72;25/03/16
17;3;"201509";688;811;4073;2298.03;1;52;25/03/16
18;1;"201509";577;602;4964;3252.15;46;40;25/03/16
18;2;"201509";271;996;2852;4511.37;54;51;25/03/16
18;3;"201509";216;395;2112;3811.67;85;55;25/03/16
7;1;"201509";955;401;2482;7125.85;32;28;25/03/16
7;2;"201509";832;892;2373;2320.77;62;76;25/03/16
7;3;"201509";870;422;6265;919.16;63;83;25/03/16
8;1;"201509";665;133;9951;8631.01;45;4;25/03/16
8;2;"201509";960;624;9352;9148.84;21;72;25/03/16
8;3;"201509";917;16;2878;97.46;92;18;25/03/16
9;1;"201509";582;834;5050;4447.97;11;65;25/03/16
9;2;"201509";983;571;7823;141.72;63;10;25/03/16
9;3;"201509";730;819;7199;3700.88;21;28;25/03/16
10;1;"201509";805;194;2194;33.34;25;92;25/03/16
10;2;"201509";31;339;4508;6580.2;25;38;25/03/16
10;3;"201509";264;36;4017;1143.18;41;87;25/03/16
11;1;"201509";143;977;7774;9422.37;12;76;25/03/16
11;2;"201509";404;653;7838;2003.6;69;50;25/03/16
11;3;"201509";411;283;4466;8787.2;100;53;25/03/16
12;1;"201509";696;941;6860;4514.15;0;48;25/03/16
12;2;"201509";563;499;1018;7193.83;0;6;25/03/16
12;3;"201509";180;894;5111;9745.95;79;24;25/03/16
25;1;"201509";491;237;4175;9857.34;22;10;25/03/16
25;2;"201509";900;989;7321;2616.09;61;15;25/03/16
25;3;"201509";1000;317;8697;3269.22;16;57;25/03/16
1;1;"201509";970;508;8404;3655.27;88;24;25/03/16
1;2;"201509";264;800;5343;9783.66;60;58;25/03/16
1;3;"201509";344;626;5005;4550.56;26;69;25/03/16
2;1;"201509";511;978;9249;6288.01;92;66;25/03/16
2;2;"201509";189;279;6993;5244.59;21;69;25/03/16
2;3;"201509";665;775;4897;8432.97;52;45;25/03/16
3;1;"201509";480;298;6018;5171.81;56;7;25/03/16
3;2;"201509";769;16;9192;6465.55;13;55;25/03/16
3;3;"201509";630;592;4575;4364.41;57;8;25/03/16
20;1;"201509";988;2;9946;9575.86;59;87;25/03/16
20;2;"201509";719;643;48;6437.63;7;43;25/03/16
20;3;"201509";588;31;6089;8526.82;53;29;25/03/16
21;1;"201509";244;835;8735;4140.48;98;13;25/03/16
21;2;"201509";253;616;6134;8063.5;51;0;25/03/16
21;3;"201509";398;173;1240;2336.01;11;65;25/03/16
22;1;"201509";324;670;8072;7182.26;49;89;25/03/16
22;2;"201509";122;452;1419;2967.4;89;90;25/03/16
22;3;"201509";264;260;7223;4046.28;66;90;25/03/16
23;1;"201509";961;12;9680;819.32;79;14;25/03/16
23;2;"201509";519;446;5876;3513.08;66;94;25/03/16
23;3;"201509";85;342;3873;2872.09;75;26;25/03/16
24;1;"201509";189;431;6579;3267.19;21;63;25/03/16
24;2;"201509";298;523;47;4548.96;84;17;25/03/16
